date,Lisbon
2012-01-01,68.86899687411197
2012-01-08,74.45296959363456
2012-01-15,74.45296959363456
2012-01-22,67.0076726342711
2012-01-29,67.0076726342711
2012-02-05,67.0076726342711
2012-02-12,67.0076726342711
2012-02-19,76.31429383347543
2012-02-26,76.31429383347543
2012-03-04,96.78886047172493
2012-03-11,109.81813015061098
2012-03-18,81.89826655299802
2012-03-25,85.62091503267975
2012-04-01,85.62091503267975
2012-04-08,81.89826655299802
2012-04-15,98.6501847115658
2012-04-22,100.51150895140665
2012-04-29,91.20488775220234
2012-05-06,89.34356351236147
2012-05-13,89.34356351236147
2012-05-20,96.78886047172493
2012-05-27,89.34356351236147
2012-06-03,83.75959079283888
2012-06-10,81.89826655299802
2012-06-17,81.89826655299802
2012-06-24,89.34356351236147
2012-07-01,93.06621199204321
2012-07-08,91.20488775220234
2012-07-15,93.06621199204321
2012-07-22,80.03694231315716
2012-07-29,80.03694231315716
2012-08-05,72.5916453537937
2012-08-12,78.17561807331629
2012-08-19,78.17561807331629
2012-08-26,83.75959079283888
2012-09-02,83.75959079283888
2012-09-09,85.62091503267975
2012-09-16,89.34356351236147
2012-09-23,91.20488775220234
2012-09-30,83.75959079283888
2012-10-07,81.89826655299802
2012-10-14,78.17561807331629
2012-10-21,81.89826655299802
2012-10-28,70.73032111395284
2012-11-04,70.73032111395284
2012-11-11,65.14634839443025
2012-11-18,70.73032111395284
2012-11-25,61.42369991474851
2012-12-02,63.28502415458938
2012-12-09,57.70105143506679
2012-12-16,59.56237567490765
2012-12-23,55.83972719522592
2012-12-30,67.0076726342711
2013-01-06,80.03694231315716
2013-01-13,74.45296959363456
2013-01-20,74.45296959363456
2013-01-27,76.31429383347543
2013-02-03,74.45296959363456
2013-02-10,76.31429383347543
2013-02-17,81.89826655299802
2013-02-24,76.31429383347543
2013-03-03,83.75959079283888
2013-03-10,81.89826655299802
2013-03-17,89.34356351236147
2013-03-24,89.34356351236147
2013-03-31,91.20488775220234
2013-04-07,81.89826655299802
2013-04-14,83.75959079283888
2013-04-21,94.92753623188406
2013-04-28,91.20488775220234
2013-05-05,85.62091503267975
2013-05-12,93.06621199204321
2013-05-19,89.34356351236147
2013-05-26,89.34356351236147
2013-06-02,83.75959079283888
2013-06-09,89.34356351236147
2013-06-16,87.48223927252062
2013-06-23,89.34356351236147
2013-06-30,94.92753623188406
2013-07-07,94.92753623188406
2013-07-14,96.78886047172493
2013-07-21,93.06621199204321
2013-07-28,87.48223927252062
2013-08-04,94.92753623188406
2013-08-11,85.62091503267975
2013-08-18,85.62091503267975
2013-08-25,89.34356351236147
2013-09-01,89.34356351236147
2013-09-08,98.6501847115658
2013-09-15,91.20488775220234
2013-09-22,94.92753623188406
2013-09-29,106.09548167092925
2013-10-06,91.20488775220234
2013-10-13,91.20488775220234
2013-10-20,85.62091503267975
2013-10-27,85.62091503267975
2013-11-03,81.89826655299802
2013-11-10,80.03694231315716
2013-11-17,72.5916453537937
2013-11-24,70.73032111395284
2013-12-01,72.5916453537937
2013-12-08,70.73032111395284
2013-12-15,70.73032111395284
2013-12-22,72.5916453537937
2013-12-29,87.48223927252062
2014-01-05,87.48223927252062
2014-01-12,89.34356351236147
2014-01-19,85.62091503267975
2014-01-26,87.48223927252062
2014-02-02,87.48223927252062
2014-02-09,91.20488775220234
2014-02-16,91.20488775220234
2014-02-23,91.20488775220234
2014-03-02,87.48223927252062
2014-03-09,89.34356351236147
2014-03-16,102.37283319124752
2014-03-23,100.51150895140665
2014-03-30,104.23415743108839
2014-04-06,102.37283319124752
2014-04-13,104.23415743108839
2014-04-20,115.40210287013358
2014-04-27,139.5993179880648
2014-05-04,113.5407786302927
2014-05-11,113.5407786302927
2014-05-18,160.0738846263143
2014-05-25,128.4313725490196
2014-06-01,107.95680591077011
2014-06-08,104.23415743108839
2014-06-15,104.23415743108839
2014-06-22,102.37283319124752
